name_of_city,state_name,Value
Roorkee ,UTTARAKHAND,"Roorkee , UTTARAKHAND"
Rudrapur ,UTTARAKHAND,"Rudrapur , UTTARAKHAND"
S.A.S. Nagar ,PUNJAB,"S.A.S. Nagar , PUNJAB"
Sagar ,MADHYA PRADESH,"Sagar , MADHYA PRADESH"
Saharanpur ,UTTAR PRADESH,"Saharanpur , UTTAR PRADESH"
Saharsa ,BIHAR,"Saharsa , BIHAR"
Salem ,TAMIL NADU,"Salem , TAMIL NADU"
Sambalpur ,ORISSA,"Sambalpur , ORISSA"
Sambhal ,UTTAR PRADESH,"Sambhal , UTTAR PRADESH"
Sangli Miraj Kupwad ,MAHARASHTRA,"Sangli Miraj Kupwad , MAHARASHTRA"
Santipur ,WEST BENGAL,"Santipur , WEST BENGAL"
Sasaram ,BIHAR,"Sasaram , BIHAR"
Satara ,MAHARASHTRA,"Satara , MAHARASHTRA"
Satna ,MADHYA PRADESH,"Satna , MADHYA PRADESH"
Sawai Madhopur ,RAJASTHAN,"Sawai Madhopur , RAJASTHAN"
Secunderabad ,ANDHRA PRADESH,"Secunderabad , ANDHRA PRADESH"
Sehore ,MADHYA PRADESH,"Sehore , MADHYA PRADESH"
Seoni ,MADHYA PRADESH,"Seoni , MADHYA PRADESH"
Serampore ,WEST BENGAL,"Serampore , WEST BENGAL"
Shahjahanpur ,UTTAR PRADESH,"Shahjahanpur , UTTAR PRADESH"
Shamli ,UTTAR PRADESH,"Shamli , UTTAR PRADESH"
Shikohabad ,UTTAR PRADESH,"Shikohabad , UTTAR PRADESH"
Shillong ,MEGHALAYA,"Shillong , MEGHALAYA"
Shimla ,HIMACHAL PRADESH,"Shimla , HIMACHAL PRADESH"
Shimoga ,KARNATAKA,"Shimoga , KARNATAKA"
Shivpuri ,MADHYA PRADESH,"Shivpuri , MADHYA PRADESH"
Sikar ,RAJASTHAN,"Sikar , RAJASTHAN"
Silchar ,ASSAM,"Silchar , ASSAM"
Siliguri ,WEST BENGAL,"Siliguri , WEST BENGAL"
Singrauli ,MADHYA PRADESH,"Singrauli , MADHYA PRADESH"
Sirsa ,HARYANA,"Sirsa , HARYANA"
Sitapur ,UTTAR PRADESH,"Sitapur , UTTAR PRADESH"
Siwan ,BIHAR,"Siwan , BIHAR"
Solapur ,MAHARASHTRA,"Solapur , MAHARASHTRA"
Sonipat ,HARYANA,"Sonipat , HARYANA"
South Dum Dum ,WEST BENGAL,"South Dum Dum , WEST BENGAL"
Srikakulam ,ANDHRA PRADESH,"Srikakulam , ANDHRA PRADESH"
Srinagar ,JAMMU & KASHMIR,"Srinagar , JAMMU & KASHMIR"
Sujangarh ,RAJASTHAN,"Sujangarh , RAJASTHAN"
Sultan Pur Majra ,NCT OF DELHI,"Sultan Pur Majra , NCT OF DELHI"
Sultanpur ,UTTAR PRADESH,"Sultanpur , UTTAR PRADESH"
Surat ,GUJARAT,"Surat , GUJARAT"
Surendranagar Dudhrej ,GUJARAT,"Surendranagar Dudhrej , GUJARAT"
Suryapet ,ANDHRA PRADESH,"Suryapet , ANDHRA PRADESH"
Tadepalligudem ,ANDHRA PRADESH,"Tadepalligudem , ANDHRA PRADESH"
Tadpatri ,ANDHRA PRADESH,"Tadpatri , ANDHRA PRADESH"
Tambaram ,TAMIL NADU,"Tambaram , TAMIL NADU"
Tenali ,ANDHRA PRADESH,"Tenali , ANDHRA PRADESH"
Thane ,MAHARASHTRA,"Thane , MAHARASHTRA"
Thanesar ,HARYANA,"Thanesar , HARYANA"
Thanjavur ,TAMIL NADU,"Thanjavur , TAMIL NADU"
Thiruvananthapuram ,KERALA,"Thiruvananthapuram , KERALA"
Thoothukkudi ,TAMIL NADU,"Thoothukkudi , TAMIL NADU"
Thrissur ,KERALA,"Thrissur , KERALA"
Tiruchirappalli ,TAMIL NADU,"Tiruchirappalli , TAMIL NADU"
Tirunelveli ,TAMIL NADU,"Tirunelveli , TAMIL NADU"
Tirupati ,ANDHRA PRADESH,"Tirupati , ANDHRA PRADESH"
Tiruppur ,TAMIL NADU,"Tiruppur , TAMIL NADU"
Tiruvannamalai ,TAMIL NADU,"Tiruvannamalai , TAMIL NADU"
Tiruvottiyur ,TAMIL NADU,"Tiruvottiyur , TAMIL NADU"
Titagarh ,WEST BENGAL,"Titagarh , WEST BENGAL"
Tonk ,RAJASTHAN,"Tonk , RAJASTHAN"
Tumkur ,KARNATAKA,"Tumkur , KARNATAKA"
Udaipur ,RAJASTHAN,"Udaipur , RAJASTHAN"
Udgir ,MAHARASHTRA,"Udgir , MAHARASHTRA"
Udupi ,KARNATAKA,"Udupi , KARNATAKA"
Ujjain ,MADHYA PRADESH,"Ujjain , MADHYA PRADESH"
Ulhasnagar ,MAHARASHTRA,"Ulhasnagar , MAHARASHTRA"
Uluberia ,WEST BENGAL,"Uluberia , WEST BENGAL"
Unnao ,UTTAR PRADESH,"Unnao , UTTAR PRADESH"
Uttarpara Kotrung ,WEST BENGAL,"Uttarpara Kotrung , WEST BENGAL"
Vadodara ,GUJARAT,"Vadodara , GUJARAT"
Valsad ,GUJARAT,"Valsad , GUJARAT"
Varanasi ,UTTAR PRADESH,"Varanasi , UTTAR PRADESH"
Vasai Virar City ,MAHARASHTRA,"Vasai Virar City , MAHARASHTRA"
Vellore ,TAMIL NADU,"Vellore , TAMIL NADU"
Veraval ,GUJARAT,"Veraval , GUJARAT"
Vidisha ,MADHYA PRADESH,"Vidisha , MADHYA PRADESH"
Vijayawada ,ANDHRA PRADESH,"Vijayawada , ANDHRA PRADESH"
Visakhapatnam,ANDHRA PRADESH,"Visakhapatnam, ANDHRA PRADESH"
Vizianagaram ,ANDHRA PRADESH,"Vizianagaram , ANDHRA PRADESH"
Warangal ,ANDHRA PRADESH,"Warangal , ANDHRA PRADESH"
Wardha ,MAHARASHTRA,"Wardha , MAHARASHTRA"
Yamunanagar ,HARYANA,"Yamunanagar , HARYANA"
Yavatmal ,MAHARASHTRA,"Yavatmal , MAHARASHTRA"
